Wavelength,Absorbance,Std
391,-0.004093647003,0.00007891186761
392,-0.004264831543,0.00009067933391
393,-0.004060268402,0.00008850179869
394,-0.00403213501,0.0000797915427
395,-0.003998756409,0.0001007605546
396,-0.003991603851,0.00008767063205
397,-0.004189491272,0.0001089111101
398,-0.004250526428,0.00008934813789
399,-0.004116535187,0.0000719692457
400,-0.003995895386,0.00008135769826
401,-0.004004478455,0.0001171778201
402,-0.004125118256,0.0001011074698
403,-0.003947734833,0.0001124102515
404,-0.003937721252,0.0001013029292
405,-0.004007339478,0.00009918442137
406,-0.003931045532,0.0001113881803
407,-0.003874778748,0.00009543178295
408,-0.003874778748,0.0001173135705
409,-0.003936290741,0.00009823308397
410,-0.00385427475,0.0001106673197
411,-0.003649234772,0.0001123434821
412,-0.00390625,0.00009175863557
413,-0.003878593445,0.00009409049594
414,-0.003588199615,0.0001322172366
415,-0.003443717957,0.0001007470142
416,-0.003445148468,0.000124080322
417,-0.003198623657,0.0001347248521
418,-0.003229141235,0.0001137773828
419,-0.003107070923,0.00008591409445
420,-0.003206253052,0.00008977211456
421,-0.003061294556,0.0001102948158
422,-0.002919197083,0.0001036109102
423,-0.002867221832,0.0001100512889
424,-0.00227355957,0.0001135773662
425,-0.002230167389,0.0001580627074
426,-0.00235748291,0.000139816591
427,-0.002290725708,0.0001433464816
428,-0.0018491745,0.0001154851952
429,-0.001685619354,0.0001029681236
430,-0.001379966736,0.0001159744041
431,-0.001118183136,0.000106014531
432,-0.0008835792542,0.0001389847401
433,-0.0007481575012,0.00009286212368
434,-0.0005655288696,0.0001010107237
435,0.0000376701355,0.0001107638424
436,0.0001106262207,0.0001119643703
437,0.0005350112915,0.000136891303
438,0.000937461853,0.0001589320495
439,0.001561641693,0.0001752167319
440,0.002061843872,0.0001448423774
441,0.002101421356,0.000131979705
442,0.00314617157,0.00009616045254
443,0.00343132019,0.000130126755
444,0.004148006439,0.0001503149257
445,0.00470161438,0.0001461146079
446,0.005701065063,0.0001123293138
447,0.006445884705,0.0001020943878
448,0.00714969635,0.0001273503417
449,0.008061885834,0.0001291656719
450,0.008941650391,0.0001209813962
451,0.009648799896,0.0001264472888
452,0.01092004776,0.0001235035855
453,0.01158952713,0.0001044567276
454,0.01294088364,0.0001338205914
455,0.01368093491,0.0001264472888
456,0.01507663727,0.0001133549344
457,0.01632547379,0.000151472185
458,0.01767396927,0.0001383583914
459,0.01925420761,0.0001421134735
460,0.02062892914,0.0002123890727
461,0.02218532562,0.000169346352
462,0.02402496338,0.0001025964762
463,0.02569293976,0.0001198085979
464,0.02774095535,0.0001445972811
465,0.02968072891,0.00009290129155
466,0.03195810318,0.0001029570821
467,0.03459692001,0.0001261628581
468,0.03741025925,0.0001618579466
469,0.04064273834,0.0001710403653
470,0.04326677322,0.0001681579608
471,0.04729700089,0.0002133290789
472,0.05062437057,0.0001369975645
473,0.05401325226,0.0001189859205
474,0.05797719955,0.000158074215
475,0.06242990494,0.0001322309935
476,0.06653404236,0.000131582866
477,0.07107830048,0.0001499908695
478,0.07605266571,0.0001500363401
479,0.08133745193,0.0001672767587
480,0.0860042572,0.0002425034586
481,0.09063053131,0.0001828320767
482,0.09613180161,0.0001257006422
483,0.1016030312,0.0001773885501
484,0.1067910194,0.0001732015394
485,0.1135025024,0.0001324440422
486,0.117436409,0.0001223568236
487,0.1221795082,0.0001392723716
488,0.1276860237,0.0001646987537
489,0.1346049309,0.0001954869519
490,0.1406931877,0.0001461426156
491,0.1470527649,0.0001618045564
492,0.1537189484,0.0001218148628
493,0.160782814,0.0001527487384
494,0.1680731773,0.0001590064251
495,0.1763544083,0.0001384700953
496,0.1853222847,0.0001014845703
497,0.1944360733,0.0001297172366
498,0.2051386833,0.0001746916862
499,0.2165269852,0.0002129962786
500,0.2282137871,0.0002491263102
501,0.2413749695,0.0001944513634
502,0.2553787231,0.0001861449144
503,0.2694606781,0.0001657309265
504,0.2849926949,0.0001146215761
505,0.3022370338,0.00009995626067
506,0.3191723824,0.0001239959997
507,0.3368778229,0.000213013358
508,0.3556828499,0.0002888043284
509,0.3744239807,0.0002443417079
510,0.3940944672,0.0002466018121
511,0.4136137962,0.0001877842607
