Wavelength,Absorbance,Std,,
390,0.03310775757,0.00007416465858,,2.100091934
391,0.03277778625,0.00008062356128,,759
392,0.03214025497,0.0000695218111,,
393,0.03247737885,0.00006147686746,,
394,0.03334093094,0.00008935068266,,
395,0.03323078156,0.0001249167747,,
396,0.03324079514,0.00009191956146,,
397,0.03262329102,0.00008495600379,,
398,0.03221416473,0.00009638717953,,
399,0.03351402283,0.0001000085658,,
400,0.03489542007,0.0000899315386,,
401,0.03507089615,0.00007430861127,,
402,0.03549432755,0.00009272245368,,
403,0.03635597229,0.00009942712236,,
404,0.03702926636,0.00009628569075,,
405,0.03765726089,0.0001028267021,,
406,0.04011058807,0.0001131441235,,
407,0.04193401337,0.0001146136411,,
408,0.04273748398,0.00009744526378,,
409,0.04356431961,0.00009479350006,,
410,0.04467773438,0.0001136814187,,
411,0.04620218277,0.00009867649303,,
412,0.04605340958,0.00008976451588,,
413,0.04593372345,0.00009961218398,,
414,0.04689645767,0.0001446695962,,
415,0.04653453827,0.00009845734751,,
416,0.04498338699,0.0001075899336,,
417,0.04350757599,0.000127478827,,
418,0.04158878326,0.000127289623,,
419,0.0391459465,0.0001148494739,,
420,0.03576612473,0.0001061602732,,
421,0.03210020065,0.00009501391693,,
422,0.03058719635,0.00007190603159,,
423,0.02804040909,0.00009605872421,,
424,0.02685117722,0.00009641548292,,
425,0.02356624603,0.0001349137408,,
426,0.02120637894,0.0001646462847,,
427,0.01667642593,0.0001323856597,,
428,0.01538228989,0.000103259194,,
429,0.01235246658,0.0001059050927,,
430,0.01017951965,0.0001300113804,,
431,0.01070976257,0.0001108397692,,
432,0.01071119308,0.0001354318266,,
433,0.00595331192,0.0001157663992,,
434,0.005158424377,0.00009995626067,,
435,0.005670547485,0.0001306185711,,
436,0.00342464447,0.0001202764429,,
437,0.003050327301,0.00009841808052,,
438,0.002155780792,0.0001284596118,,
439,0.002031803131,0.0001420462599,,
440,0.00190782547,0.0001198693124,,
441,-0.0009832382202,0.0001667676182,,
442,0.0004372596741,0.00009998582781,,
443,0.0002136230469,0.00009285232913,,
444,0.0002470016479,0.00009879854193,,
445,0.00008392333984,0.00009582172907,,
446,0.0002083778381,0.0000842329837,,
447,-0.00005722045898,0.00007592349715,,
448,-0.0003247261047,0.000126123203,,
449,-0.0009684562683,0.0001195311968,,
450,-0.001011371613,0.0001129470116,,
451,-0.00118303299,0.0001303397542,,
452,-0.001442909241,0.0001348328209,,
453,-0.001882076263,0.00007789686307,,
