Wavelength,Absorbance,Std,,
390,0.03425741196,0.0001789048282,,1.497724533
391,0.03466653824,0.0001834379595,,557
392,0.03489160538,0.000198799353,,
393,0.03515291214,0.0001996074745,,
394,0.03460597992,0.0002287029521,,
395,0.03455686569,0.0001875904289,,
396,0.03446674347,0.000195533471,,
397,0.0346531868,0.0002103278923,,
398,0.03513097763,0.0001965911185,,
399,0.03478717804,0.0001984330205,,
400,0.0343079567,0.0001428348177,,
401,0.03469991684,0.0001703823975,,
402,0.03448104858,0.0001793313488,,
403,0.03447580338,0.0001987673259,,
404,0.03460788727,0.0002211290871,,
405,0.03495931625,0.0001931890902,,
406,0.03498458862,0.0002162129221,,
407,0.03407382965,0.0001994023304,,
408,0.03465223312,0.0001775730309,,
409,0.03491830826,0.0001981853632,,
410,0.03465843201,0.0001803528999,,
411,0.03449678421,0.0001862621403,,
412,0.0350022316,0.0002110703401,,
413,0.03530931473,0.0002387159401,,
414,0.03482580185,0.0002225517074,,
415,0.03441667557,0.0002231842419,,
416,0.03492355347,0.0002240343157,,
417,0.03512525558,0.0002407796301,,
418,0.03459644318,0.0002136826432,,
419,0.03515291214,0.0002199868475,,
420,0.03549575806,0.0002044158129,,
421,0.03585290909,0.0002272588087,,
422,0.03597402573,0.0002148922613,,
423,0.03547859192,0.0001700430991,,
424,0.03576183319,0.0002032109678,,
425,0.03599452972,0.0002239612306,,
426,0.03560066223,0.0002469408852,,
427,0.03598976135,0.0002034480373,,
428,0.03676128387,0.0001414849052,,
429,0.03631067276,0.0001788895765,,
430,0.03793287277,0.0002233838318,,
431,0.03704881668,0.0002479333134,,
432,0.03629779816,0.0002445128702,,
433,0.0377202034,0.0002356482729,,
434,0.03797674179,0.0001948205146,,
435,0.03730630875,0.0001782733375,,
436,0.03853368759,0.0002239693523,,
437,0.03834199905,0.0002480800022,,
438,0.03884983063,0.0002022823933,,
439,0.03963661194,0.0002301024632,,
440,0.03938293457,0.0002779302143,,
441,0.04077196121,0.0002267219036,,
442,0.04139614105,0.0002067736587,,
443,0.04095125198,0.0002215687365,,
444,0.04255437851,0.0002014714584,,
445,0.04263544083,0.0001851995254,,
446,0.04332828522,0.000229979901,,
447,0.04423570633,0.0002537633994,,
448,0.04456472397,0.0002054188798,,
449,0.04569959641,0.0002204989065,,
450,0.04698324203,0.000228404501,,
451,0.04713439941,0.0002174335613,,
452,0.0483584404,0.0001938142156,,
453,0.04941987991,0.0002276027224,,
454,0.05042695999,0.000201683517,,
455,0.05225324631,0.0002459444523,,
456,0.05265951157,0.0001664072871,,
457,0.05439043045,0.0001990873655,,
458,0.05620288849,0.0002318978282,,
459,0.05733251572,0.0002259866069,,
